section	subgroup	case	title	rc	started_ms	finished_ms	duration_ms	log_path
SETUP	-	-	Verify host test tools exist	0	1775499111313	1775499111328	15	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/setup/root/verify-host-test-tools-exist.log
SETUP	-	-	Verify shared release/test/variant artifacts exist	0	1775499111341	1775499111364	23	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/setup/root/verify-shared-release-test-variant-artifacts-exist.log
TESTS	-	release-iso-is-iso9660	canonical release ISO is an ISO9660 image	0	1775499111719	1775499112396	677	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/release-iso-is-iso9660.log
TESTS	-	release-iso-is-within-10mb	canonical release ISO stays within the 10 MB upper bound	0	1775499111908	1775499112413	505	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/release-iso-is-within-10mb.log
TESTS	-	release-img-is-iso9660	canonical release IMG is an ISO9660 image	0	1775499112244	1775499112434	190	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/release-img-is-iso9660.log
TESTS	unit	source-defines-format-helpers	console service defines the no-allocation formatting helpers	0	1775499112392	1775499112452	60	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/source-defines-format-helpers.log
TESTS	-	release-img-copies-release-iso	canonical release IMG matches the release ISO bytes	0	1775499112407	1775499112473	66	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/release-img-copies-release-iso.log
TESTS	-	release-img-is-within-10mb	canonical release IMG stays within the 10 MB upper bound	0	1775499112430	1775499112505	75	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/release-img-is-within-10mb.log
TESTS	unit	source-defines-printk-wrappers	console service defines printf/printk wrapper entrypoints	0	1775499112467	1775499112523	56	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/source-defines-printk-wrappers.log
TESTS	-	linker-script-defines-rodata-section	linker script defines .rodata	0	1775499112500	1775499112545	45	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/linker-script-defines-rodata-section.log
TESTS	-	linker-script-defines-data-section	linker script defines .data	0	1775499112520	1775499112564	44	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/linker-script-defines-data-section.log
TESTS	-	linker-script-defines-bss-section	linker script defines .bss	0	1775499112560	1775499112585	25	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/root/linker-script-defines-bss-section.log
